"Bill of Material for "
"On 4/22/2020 at 4:57:05 PM"

"Comment","Pattern","Quantity","Components"

"","0603","6","C25, C42, C43, R4, R5, R49","Capacitor"
"0.8pF","CAPC1005X04L","1","C11","Capacitor, NP0, ±5%"
"0","0402","1","XX1","Resistor"
"0R","0402","29","R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R43, R44, R45","Resistor"
"0R","C1206","10","R57, R58, R59, R60, R61, R62, R63, R64, R65, R66","Resistor"
"0R","J1-0603","2","R1, R2","Resistor"
"1.0µF","CAPC1608X06L","1","C1","Capacitor, X7R, ±10%"
"100nF","CAPC1005X04L","3","C2, C8, C12","Capacitor, X7R, ±10%"
"100pF","CAPC1005X04L","1","C9","Capacitor, NP0, ±5%"
"12pF","CAPC1005X04L","4","C3, C4, C6, C7","Capacitor, NP0, ±2%"
"3.9nH","INDC1005X04L","1","L3","High frequency chip inductor ±5%"
"4.7µF","CAPC1608X06L","1","C5","Capacitor, X5R, ±10%"
"ABS07AIG-32.768kHz-9-1-T","XTAL_3215","1","X2","XTAL SMD 3215, 32.768kHz, Cl=9pF, Total Tol: ±50ppm"
"Cap Semi","1608[0603]","8","C20, C22, C23, C24, C27, C28, C29, C30","Capacitor"
"Cap","0603","16","C13, C14, C15, C19, C26, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41","Capacitor"
"Cap","cap_0402_R - modified","4","C16, C17, C18, C21","Capacitor"
"FA-128 32.0000MF10Z-AJ3-ND","BT-XTAL_2016","1","X1","XTAL SMD 2016, 32MHz, Cl=8pF, Total Tol: ±40ppm"
"FR05-S1-N-0-102","ANTENNACHIP","1","A1","Bluetooth antenna"
"GRM187R61A226ME15D","c0603-Murata-GR","29","Cb18, Cb19, Cb20, Cb21, Cb22, Cb23, Cb24, Cb25, Cb26, Cb27, Cb28, Cb29, Cb30, Cb31, Cb32, Cb33, Cb34, Cb35, Cb36, Cb37, Cb38, Cb39, Cb40, Cb41, Cb42, Cb43, Cb44, Cb45, Cb46","CAP CER 22UF 10V X5R 0603"
"Header 16X2","HDR2X16","2","P2, P3","Header, 16-Pin, Dual row"
"Header 2","HDR1X2","1","P5","Header, 2-Pin"
"Header 6","HDR1X6","2","P1, P4","Header, 6-Pin"
"Inductor","1608[0603]","7","L4, L5, L6, L7, L8, L10, L11","Inductor"
"L0603B100KDWFT","J1-0603","1","L2","Chip inductor, IDC,min = 50 mA, ±20%"
"LED3","0603","5","D1, D2, D3, D4, D5","Typical BLUE SiC LED"
"LP5907QMFX-1.2","SOT23__DDC__(R - PDSO-  G5)","1","U9","Linear Regulator"
"LQW15AN15NJ00D","INDC1005X04L","1","L1","High frequency chip inductor ±10%"
"N.C.","CAPC1005X04L","1","C10","Not mounted"
"NC","0402","2","R13, R14","Resistor"
"NC","INDC1005X04L","2","XX2, XX3","Not mounted"
"nRF52832-QFAA","QFN40P600X600X90-48N","1","U4","Multi-protocol Bluetooth Low Energy, ANT and 2.4GHz proprietary system-on-chip"
"PLINK","QFN56_M","2","U2, U3","PLINK"
"Res3","res_0402_R - modified","5","R41, R42, R46, R47, R48","Resistor"
"SIT1533AC-H5-DCC-32.768E","SiT1533-C","2","YW2, YW3","20 ppm, Ultra-Low Power 32.768 kHz Quartz XTAL Replacement"
"SRN4026-220M","BOUR-IND-SRN4026","1","L9","Semi-shielded Power Inductor, 22uH, 3A"
"TLV70237","SOT23__DDC__(R - PDSO-  G5)","1","U5","Linear Regulator"
"TPS73218","SOT23__DDC__(R - PDSO-  G5)","3","U1, U7, U8","Linear Regulator"
"TPS79333","SOT_23__DBV_(R - PDSO - G5)","1","U6","Regulator"
